Country,"GDP  (nominal, 2017)",GDP  (abbrev.),GDP   growth,Population  (2017),GDP   per capita,Share of  World GDP,Lat,Lng,Continents
Sudan,117488000000.0,117.00,0.0428,40813397,2879,0.0015,14.5844444,29.4917691,Africa
Ukraine,112154000000.0,112.00,0.0252,44487709,2521,0.0014,49.4871968,31.2718321,Europe
Morocco,109709000000.0,110.00,0.0409,35581255,3083,0.0014,31.1728205,-7.3362482,Africa
Ecuador,104296000000.0,104.00,0.0237,16785361,6214,0.0013,-1.3397668,-79.3666965,South America
Cuba,96851000000.0,96.85,0.0178,11339254,8541,0.0012,23.0131338,-80.8328748,North America
Slovakia,95617670260.0,95.62,0.034,5447900,17551,0.0012,48.7411522,19.4528646,Europe
Sri Lanka,87357205923.0,87.36,0.0331,21128032,4135,0.0011,7.5554942,80.7137847,Asia
Ethiopia,80561496134.0,80.56,0.1025,106399924,757,0.001,10.2116702,38.6521203,Africa
Kenya,79263075749.0,79.26,0.0487,50221142,1578,0.001,1.4419683,38.4313975,Africa
Dominican Republic,75931656815.0,75.93,0.0455,10513104,7223,0.0009,19.0974031,-70.3028026,North America
Guatemala,75620095538.0,75.62,0.0276,16914970,4471,0.0009,15.5855545,-90.345759,North America
Oman,70783875163.0,70.78,-0.0027,4665928,15170,0.0009,21.0000287,57.0036901,Asia
Myanmar,67068745521.0,67.07,0.0676,53382523,1256,0.0008,17.1750495,95.9999652,Asia
Luxembourg,62316359824.0,62.32,0.023,591910,105280,0.0008,49.8158683,6.1296751,Europe
Panama,62283756584.0,62.28,0.0532,4106769,15166,0.0008,8.559559,-81.1308434,North America
Ghana,58996776238.0,59.00,0.0814,29121465,2026,0.0007,8.0300284,-1.0800271,Africa
Bulgaria,58220973783.0,58.22,0.0381,7102444,8197,0.0007,42.6073975,25.4856617,Europe
Costa Rica,57285984448.0,57.29,0.0328,4949954,11573,0.0007,10.2735633,-84.0739102,North America
Uruguay,56156972158.0,56.16,0.0266,3436641,16341,0.0007,-32.8755548,-56.0201525,South America
Croatia,55213087271.0,55.21,0.0292,4182857,13200,0.0007,45.5643442,17.0118954,Europe
Belarus,54456465473.0,54.46,0.0242,9450231,5762,0.0007,53.4250605,27.6971358,Europe
Lebanon,53576985687.0,53.58,0.0153,6819373,7857,0.0007,33.8750629,35.843409,Asia
