Country,"GDP  (nominal, 2017)",GDP  (abbrev.),GDP   growth,Population  (2017),GDP   per capita,Share of  World GDP
DR Congo,37642482562.00,37.64,0.037,81398764,462,0.0005
Bolivia,37508642113.00,37.51,0.042,11192855,3351,0.0005
C?te d'Ivoire,37353276059.00,37.35,0.077,24437470,1529,0.0005
Bahrain,35432686170.00,35.43,0.0388,1494076,23715,0.0004
Cameroon,34922782311.00,34.92,0.0355,24566073,1422,0.0004
Yemen,31267675216.00,31.27,-0.0594,27834819,1123,0.0004
Latvia,30463302414.00,30.46,0.0455,1951097,15613,0.0004
Estonia,26611651599.00,26.61,0.0485,1319390,20170,0.0003
Uganda,25995031850.00,26.00,0.0386,41166588,631,0.0003
Zambia,25868142073.00,25.87,0.034,16853599,1535,0.0003
Nepal,24880266905.00,24.88,0.0791,27632681,900,0.0003
El Salvador,24805439600.00,24.81,0.0232,6388126,3883,0.0003
Iceland,24488467010.00,24.49,0.0364,334393,73233,0.0003
Honduras,22978532897.00,22.98,0.0479,9429013,2437,0.0003
Cambodia,22158209503.00,22.16,0.071,16009409,1384,0.0003
Trinidad and Tobago,22079017627.00,22.08,-0.0234,1384059,15952,0.0003
Cyprus,22054225828.00,22.05,0.0423,1179678,18695,0.0003
Zimbabwe,22040902300.00,22.04,0.047,14236595,1548,0.0003
Senegal,21070225735.00,21.07,0.0715,15419355,1366,0.0003
Papua New Guinea,20536314601.00,20.54,0.0255,8438036,2434,0.0003
Afghanistan,19543976895.00,19.54,0.0267,36296113,538,0.0002
Bosnia and Herzegovina,18054854789.00,18.05,0.0319,3351525,5387,0.0002
Botswana,17406565823.00,17.41,0.0236,2205080,7894,0.0002
Laos,16853087485.00,16.85,0.0689,6953035,2424,0.0002
Mali,15334336144.00,15.33,0.054,18512430,828,0.0002
Georgia,15081338092.00,15.08,0.0483,4008716,3762,0.0002
Gabon,15013950984.00,15.01,0.005,2064823,7271,0.0002
Jamaica,14781107822.00,14.78,0.0098,2920848,5061,0.0002
State of Palestine,14498100000.00,14.50,0.0314,4747227,3054,0.0002
Nicaragua,13814261536.00,13.81,0.0486,6384846,2164,0.0002
Mauritius,13266427697.00,13.27,0.0382,1264499,10491,0.0002
Namibia,13253698015.00,13.25,-0.0095,2402633,5516,0.0002
Albania,13038538300.00,13.04,0.0384,2884169,4521,0.0002
Mozambique,12645508634.00,12.65,0.0374,28649018,441,0.0002
Malta,12518134319.00,12.52,0.0642,437933,28585,0.0002
Burkina Faso,12322864245.00,12.32,0.063,19193234,642,0.0002
Equatorial Guinea,12293579173.00,12.29,-0.0492,1262002,9741,0.0002
Bahamas,12162100000.00,12.16,0.0144,381755,31858,0.0002
Brunei,12128089002.00,12.13,0.0133,424473,28572,0.0001
Armenia,11536590636.00,11.54,0.075,2944791,3918,0.0001
Madagascar,11499803807.00,11.50,0.0417,25570512,450,0.0001
Mongolia,11433635876.00,11.43,0.053,3113786,3672,0.0001
North Macedonia,11279509014.00,11.28,0.0024,2081996,5418,0.0001
Guinea,10472514515.00,10.47,0.106,12067519,868,0.0001
Chad,9871247732.00,9.87,-0.0295,15016753,657,0.0001
Benin,9246696924.00,9.25,0.0584,11175198,827,0.0001
Rwanda,9135454442.00,9.14,0.0606,11980961,762,0.0001
Congo,8701334800.00,8.70,-0.031,5110695,1703,0.0001
Haiti,8408150518.00,8.41,0.0117,10982366,766,0.0001
Moldova,8128493432.00,8.13,0.045,4059684,2002,0.0001
Niger,8119710126.00,8.12,0.0489,21602382,376,0.0001
Kyrgyzstan,7564738836.00,7.56,0.0458,6189733,1222,0.0001
Tajikistan,7146449583.00,7.15,0.0762,8880268,805,0.0001
Malawi,6303292264.00,6.30,0.04,17670196,357,0.0001
Guam,5859000000.00,5.86,0.0019,164281,35665,0.0001
Fiji,5061202767.00,5.06,0.038,877459,5768,0.0001
Mauritania,5024708656.00,5.02,0.035,4282570,1173,0.0001
Maldives,4865546027.00,4.87,0.0691,496402,9802,0.0001
Montenegro,4844592067.00,4.84,0.047,627563,7720,0.0001
Togo,4757776485.00,4.76,0.044,7698474,618,0.0001
Barbados,4673500000.00,4.67,0.01,286232,16328,0.0001
Eswatini,4433664364.00,4.43,0.0187,1124805,3942,0.0001
Sierra Leone,3775047334.00,3.78,0.0421,7488423,504,0
Guyana,3621046005.00,3.62,0.0292,775222,4671,0
Liberia,3285455000.00,3.29,0.0247,4702226,699,0
Burundi,3172416146.00,3.17,0.005,10827019,293,0
Andorra,3012914131.00,3.01,0.0187,77001,39128,0
Suriname,2995827901.00,3.00,0.0169,570496,5251,0
Timor-Leste,2954621000.00,2.95,-0.08,1243258,2377,0
Aruba,2700558659.00,2.70,0.0133,105366,25630,0
Lesotho,2578265358.00,2.58,-0.0229,2091534,1233,0
Bhutan,2528007911.00,2.53,0.0463,745563,3391,0
Central African Republic,1949411659.00,1.95,0.043,4596023,424,0
Belize,1862614800.00,1.86,0.0144,375769,4957,0
Cabo Verde,1772706451.00,1.77,0.0401,537498,3298,0
Saint Lucia,1737504296.00,1.74,0.0382,180954,9602,0
San Marino,1632860041.00,1.63,0.015,33671,48495,0
Northern Mariana Islands,1593000000.00,1.59,0.2514,56562,28164,0
Antigua and Barbuda,1510084751.00,1.51,0.0303,95426,15825,0
Seychelles,1497959569.00,1.50,0.0528,96418,15536,0
Gambia,1489464788.00,1.49,0.0456,2213889,673,0
Guinea-Bissau,1346841897.00,1.35,0.0592,1828145,737,0
Solomon Islands,1303453622.00,1.30,0.0324,636039,2049,0
Grenada,1126882296.00,1.13,0.0506,110874,10164,0
Comoros,1068124330.00,1.07,0.0271,813892,1312,0
